MOTOR,Sprint 1,Sprint 2,Sprint 3,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,Sprint 9,Sprint 10,Sprint 11,Sprint 12,Sprint 13,Sprint 14,Sprint 15,Sprint 16,Sprint 17,Sprint 18,Sprint 19,Sprint 20,Sprint 21,Sprint 22,Sprint 23,Sprint 24
,7 Jan -  27 Jan,28 Jan - 10 Feb,11 Feb - 24 Feb,25 Feb - 10 Mar,11 Mar - 24 Mar,25 Mar - 7 Apr,,,,,,,,,,,,,,,,,,
Automation Total,1127,1115,1115,1136,1138,1137,,,,,,,,,,,,,,,,,,
Automation Pass,1010,1002,1002,1045,932,1047,,,,,,,,,,,,,,,,,,
Automation Fail,117,113,113,91,206,90,,,,,,,,,,,,,,,,,,
Automation % Pass,89.62%,89.87%,89.87%,91.99%,81.90%,92.08%,,,,,,,,,,,,,,,,,,
Automation Time (h),12,12,12,12,12,12,,,,,,,,,,,,,,,,,,
Automation Split %,98%,98%,98%,98%,98%,98%,,,,,,,,,,,,,,,,,,
Manual Total Count,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
Manual Pass Count,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
Manual Fail Count,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual % Pass,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,
Manual Time (h),14,14,14,14,14,14,,,,,,,,,,,,,,,,,,
Manual Split %,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,
MOTOR REMARKS,,,,,,,,,,,,,,,,,,,,,,,,
Analytics Link,Link,Link,Link,Link,Link,Link,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
HOME,Sprint 1,Sprint 2,Sprint 3,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,Sprint 9,Sprint 10,Sprint 11,Sprint 12,Sprint 13,Sprint 14,Sprint 15,Sprint 16,Sprint 17,Sprint 18,Sprint 19,Sprint 20,Sprint 21,Sprint 22,Sprint 23,Sprint 24
,8 Jan - 28 Jan ,28 Jan - 10 Feb,11 Feb - 24 Feb,25 Feb - 10 Mar,11 Mar - 24 Mar,25 Mar - 7 Apr,,,,,,,,,,,,,,,,,,
Automation Total,426,430,420,424,428,429,,,,,,,,,,,,,,,,,,
Automation Pass,396,401,381,398,407,408,,,,,,,,,,,,,,,,,,
Automation Fail,30,29,39,26,21,21,,,,,,,,,,,,,,,,,,
Automation % Pass,92.96%,93.26%,90.71%,93.87%,95.09%,95.10%,,,,,,,,,,,,,,,,,,
Automation Time (h),6,6,6,6,6,6,,,,,,,,,,,,,,,,,,
Automation Split %,97%,97%,97%,97%,97%,97%,,,,,,,,,,,,,,,,,,
Manual Total,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,
Manual Pass,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,
Manual Fail,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual % Pass,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,
Manual Time (h),7,7,7,7,7,7,,,,,,,,,,,,,,,,,,
Manual Split %,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,,,
HOME REMARKS,,,,,,,,,,,,,,,,,,,,,,,,
,Link,Link,Link,Link,Link,Link,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Environment Dependant Tests,Sprint 1,Sprint 2,Sprint 3,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,Sprint 9,Sprint 10,Sprint 11,Sprint 12,Sprint 13,Sprint 14,Sprint 15,Sprint 16,Sprint 17,Sprint 18,Sprint 19,Sprint 20,Sprint 21,Sprint 22,Sprint 23,Sprint 24
,8 Jan - 28 Jan ,28 Jan - 10 Feb,11 Feb - 24 Feb,25 Feb - 10 Mar,11 Mar - 24 Mar,25 Mar - 7 Apr,,,,,,,,,,,,,,,,,,
Automation Total,62,64,64,68,61,80,,,,,,,,,,,,,,,,,,
Automation Pass,30,29,27,35,35,39,,,,,,,,,,,,,,,,,,
Automation Fail,32,35,37,33,26,41,,,,,,,,,,,,,,,,,,
Automation % Pass,48.39%,45.31%,42.19%,51.47%,57.38%,48.75%,,,,,,,,,,,,,,,,,,
Automation Time (h),4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
Automation Split %,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,
Manual Total,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual Pass,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual Fail,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual % Pass,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,
Manual Time (h),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Manual Split %,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
HOME REMARKS,,,,,,,,,,,,,,,,,,,,,,,,
,Link,Link,Link,Link,Link,Link,,,,,,,,,,,,,,,,,,
